ensembl	entrez	symbol	genename	E3KO_1	E3KO_2	E3KO_3	E3WT_1	E3WT_2	E3WT_3
ENSMUSG00000000544	59290	Gpa33	glycoprotein A33 (transmembrane)	502.435592502339	473.951932891017	467.34016681767	3696.79597646115	3664.49429124022	3908.37760562618
ENSMUSG00000000731	11634	Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	586.002908709093	518.871942004479	547.020769972406	3607.40542356445	3834.54273731948	3653.05056995747
ENSMUSG00000005566	21849	Trim28	tripartite motif-containing 28	1296.84094409741	1117.49981855735	1181.77973218261	102635.25315089	100109.807408183	104463.894336533
ENSMUSG00000017707	26943	Serinc3	serine incorporator 3	10030.1413353342	10696.4625782831	10144.5046555767	2429.4365820591	2478.13291011415	2519.30483359362
ENSMUSG00000018924	11687	Alox15	arachidonate 15-lipoxygenase	2016.96423684204	2115.82410273204	2132.57524398408	78.4650408759889	86.5158760754136	63.2461464500491
ENSMUSG00000020173	12808	Cobl	cordon-bleu WH2 repeat	218.719395504098	224.60004556731	204.125590104269	9702.84790275361	9941.37026581506	9666.11938244917
ENSMUSG00000021268	17263	Meg3	maternally expressed 3	51.5847630905892	38.5028649543959	42.9738084430041	1935.80208439623	1903.3492736591	1784.9467998125
ENSMUSG00000022139	105559	Mbnl2	muscleblind-like 2	8088.49085260438	8062.68326842648	8756.80875793798	991.241908787809	1143.60066076696	885.446050300687
ENSMUSG00000022464	69354	Slc38a4	solute carrier family 38, member 4	1652.77580942248	1971.89672659299	1799.5282285508	12974.5421387727	12486.1303448608	12321.286308417
ENSMUSG00000022652	17450	Morc1	microrchidia 1	293.001454354547	287.854752278103	273.062741148255	2494.98965418334	2514.92701833013	2365.87436720554
ENSMUSG00000022750	224023	Klhl22	kelch-like 22	4355.81739536935	4355.40741424607	4316.18188549422	911.783639546301	912.891657899192	931.123822736834
ENSMUSG00000023087	12457	Ccrn4l	CCR4 carbon catabolite repression 4-like (S. cerevisiae)	279855.593328541	302692.106308743	293191.493965423	19322.2646228036	19606.2875023317	19531.3470037226
